fips,admin2,province_state,country_region,last_update,latitude,longitude,confirmed,deaths,recovered,active,combined_key
,,Anhui,China,2020-01-22T17:00:00,31.826,117.226,1,,,,"Anhui, China"
,,Beijing,China,2020-01-22T17:00:00,40.182,116.414,14,,,,"Beijing, China"
,,Chongqing,China,2020-01-22T17:00:00,30.057,107.874,6,,,,"Chongqing, China"
,,Fujian,China,2020-01-22T17:00:00,26.079,117.987,1,,,,"Fujian, China"
,,Gansu,China,2020-01-22T17:00:00,36.061,103.834,,,,,"Gansu, China"
,,Guangdong,China,2020-01-22T17:00:00,23.342,113.424,26,,,,"Guangdong, China"
,,Guangxi,China,2020-01-22T17:00:00,23.83,108.788,2,,,,"Guangxi, China"
,,Guizhou,China,2020-01-22T17:00:00,26.815,106.875,1,,,,"Guizhou, China"
,,Hai,China,2020-01-22T17:00:00,19.196,109.745,4,,,,"Hai, China"
,,Hebei,China,2020-01-22T17:00:00,38.043,114.515,1,,,,"Hebei, China"
,,Heilongjiang,China,2020-01-22T17:00:00,47.862,127.761,,,,,"Heilongjiang, China"
,,He,China,2020-01-22T17:00:00,33.882,113.614,5,,,,"He, China"
,,Hong Kong,Hong Kong,2020-01-22T17:00:00,22.3,114.2,,,,,"Hong Kong, Hong Kong"
,,Hubei,China,2020-01-22T17:00:00,30.976,112.271,444,17,28,,"Hubei, China"
,,Hu,China,2020-01-22T17:00:00,27.61,111.709,4,,,,"Hu, China"
,,Inner Mongolia,China,2020-01-22T17:00:00,44.093,113.945,,,,,"Inner Mongolia, China"
,,Jiangsu,China,2020-01-22T17:00:00,32.971,119.455,1,,,,"Jiangsu, China"
,,Jiangxi,China,2020-01-22T17:00:00,27.614,115.722,2,,,,"Jiangxi, China"
,,Jilin,China,2020-01-22T17:00:00,43.666,126.192,,,,,"Jilin, China"
,,Liaoning,China,2020-01-22T17:00:00,41.296,122.609,2,,,,"Liaoning, China"
,,Macau,Macau,2020-01-22T17:00:00,22.167,113.55,1,,,,"Macau, Macau"
,,Ningxia,China,2020-01-22T17:00:00,37.269,106.165,1,,,,"Ningxia, China"
,,Qinghai,China,2020-01-22T17:00:00,35.745,95.996,,,,,"Qinghai, China"
,,Shaanxi,China,2020-01-22T17:00:00,35.192,108.87,,,,,"Shaanxi, China"
,,Shandong,China,2020-01-22T17:00:00,36.343,118.15,2,,,,"Shandong, China"
,,Shanghai,China,2020-01-22T17:00:00,31.202,121.449,9,,,,"Shanghai, China"
,,Shanxi,China,2020-01-22T17:00:00,37.578,112.292,1,,,,"Shanxi, China"
,,Sichuan,China,2020-01-22T17:00:00,30.617,102.71,5,,,,"Sichuan, China"
,,Taiwan,Taiwan,2020-01-22T17:00:00,23.7,121,1,,,,"Taiwan, Taiwan"
,,Tianjin,China,2020-01-22T17:00:00,39.305,117.323,4,,,,"Tianjin, China"
,,Tibet,China,2020-01-22T17:00:00,31.693,88.092,,,,,"Tibet, China"
,,Washington,US,2020-01-22T17:00:00,47.401,-121.49,1,,,,"Washington, US"
,,Xinjiang,China,2020-01-22T17:00:00,41.113,85.24,,,,,"Xinjiang, China"
,,Yun,China,2020-01-22T17:00:00,24.974,101.487,1,,,,"Yun, China"
,,Zhejiang,China,2020-01-22T17:00:00,29.183,120.093,10,,,,"Zhejiang, China"
,,,Japan,2020-01-22T17:00:00,36,138,2,,,,Japan
,,,Thailand,2020-01-22T17:00:00,15,101,2,,,,Thailand
,,,South Korea,2020-01-22T17:00:00,36,128,1,,,,South Korea
,,Anhui,China,2020-01-23T17:00:00,31.826,117.226,9,,,,"Anhui, China"
,,Beijing,China,2020-01-23T17:00:00,40.182,116.414,22,,,,"Beijing, China"
,,Chongqing,China,2020-01-23T17:00:00,30.057,107.874,9,,,,"Chongqing, China"
,,Fujian,China,2020-01-23T17:00:00,26.079,117.987,5,,,,"Fujian, China"
,,Gansu,China,2020-01-23T17:00:00,36.061,103.834,2,,,,"Gansu, China"
,,Guangdong,China,2020-01-23T17:00:00,23.342,113.424,32,,2,,"Guangdong, China"
,,Guangxi,China,2020-01-23T17:00:00,23.83,108.788,5,,,,"Guangxi, China"
,,Guizhou,China,2020-01-23T17:00:00,26.815,106.875,3,,,,"Guizhou, China"
,,Hai,China,2020-01-23T17:00:00,19.196,109.745,5,,,,"Hai, China"
,,Hebei,China,2020-01-23T17:00:00,38.043,114.515,1,1,,,"Hebei, China"
,,Heilongjiang,China,2020-01-23T17:00:00,47.862,127.761,2,,,,"Heilongjiang, China"
,,He,China,2020-01-23T17:00:00,33.882,113.614,5,,,,"He, China"
,,Hong Kong,Hong Kong,2020-01-23T17:00:00,22.3,114.2,2,,,,"Hong Kong, Hong Kong"
,,Hubei,China,2020-01-23T17:00:00,30.976,112.271,444,17,28,,"Hubei, China"
,,Hu,China,2020-01-23T17:00:00,27.61,111.709,9,,,,"Hu, China"
,,Inner Mongolia,China,2020-01-23T17:00:00,44.093,113.945,,,,,"Inner Mongolia, China"
,,Jiangsu,China,2020-01-23T17:00:00,32.971,119.455,5,,,,"Jiangsu, China"
,,Jiangxi,China,2020-01-23T17:00:00,27.614,115.722,7,,,,"Jiangxi, China"
,,Jilin,China,2020-01-23T17:00:00,43.666,126.192,1,,,,"Jilin, China"
,,Liaoning,China,2020-01-23T17:00:00,41.296,122.609,3,,,,"Liaoning, China"
,,Macau,Macau,2020-01-23T17:00:00,22.167,113.55,2,,,,"Macau, Macau"
,,Ningxia,China,2020-01-23T17:00:00,37.269,106.165,1,,,,"Ningxia, China"
,,Qinghai,China,2020-01-23T17:00:00,35.745,95.996,,,,,"Qinghai, China"
,,Shaanxi,China,2020-01-23T17:00:00,35.192,108.87,3,,,,"Shaanxi, China"
,,Shandong,China,2020-01-23T17:00:00,36.343,118.15,6,,,,"Shandong, China"
,,Shanghai,China,2020-01-23T17:00:00,31.202,121.449,16,,,,"Shanghai, China"
,,Shanxi,China,2020-01-23T17:00:00,37.578,112.292,1,,,,"Shanxi, China"
,,Sichuan,China,2020-01-23T17:00:00,30.617,102.71,8,,,,"Sichuan, China"
,,Taiwan,Taiwan,2020-01-23T17:00:00,23.7,121,1,,,,"Taiwan, Taiwan"
,,Tianjin,China,2020-01-23T17:00:00,39.305,117.323,4,,,,"Tianjin, China"
,,Tibet,China,2020-01-23T17:00:00,31.693,88.092,,,,,"Tibet, China"
,,Washington,US,2020-01-23T17:00:00,47.401,-121.49,1,,,,"Washington, US"
,,Xinjiang,China,2020-01-23T17:00:00,41.113,85.24,2,,,,"Xinjiang, China"
,,Yun,China,2020-01-23T17:00:00,24.974,101.487,2,,,,"Yun, China"
,,Zhejiang,China,2020-01-23T17:00:00,29.183,120.093,27,,,,"Zhejiang, China"
,,,Japan,2020-01-23T17:00:00,36,138,1,,,,Japan
,,,Thailand,2020-01-23T17:00:00,15,101,3,,,,Thailand
,,,South Korea,2020-01-23T17:00:00,36,128,1,,,,South Korea
,,,Singapore,2020-01-23T17:00:00,1.283,103.833,1,,,,Singapore
,,,Philippines,2020-01-23T17:00:00,13,122,,,,,Philippines
,,,Malaysia,2020-01-23T17:00:00,2.5,112.5,,,,,Malaysia
,,,Vietnam,2020-01-23T17:00:00,16,108,2,,,,Vietnam
,,,Australia,2020-01-23T17:00:00,-23.992,134.05,,,,,Australia
,,,Mexico,2020-01-23T17:00:00,23,-102,,,,,Mexico
,,,Brazil,2020-01-23T17:00:00,-14.235,-51.925,,,,,Brazil
,,,Colombia,2020-01-23T17:00:00,4.571,-74.297,,,,,Colombia
,,Hubei,China,2020-01-24T17:00:00,30.976,112.271,549,24,31,,"Hubei, China"
,,Guangdong,China,2020-01-24T17:00:00,23.342,113.424,53,,2,,"Guangdong, China"
,,Zhejiang,China,2020-01-24T17:00:00,29.183,120.093,43,,1,,"Zhejiang, China"
,,Beijing,China,2020-01-24T17:00:00,40.182,116.414,36,,1,,"Beijing, China"
,,Chongqing,China,2020-01-24T17:00:00,30.057,107.874,27,,,,"Chongqing, China"
,,Hu,China,2020-01-24T17:00:00,27.61,111.709,24,,,,"Hu, China"
,,Guangxi,China,2020-01-24T17:00:00,23.83,108.788,23,,,,"Guangxi, China"
,,Shanghai,China,2020-01-24T17:00:00,31.202,121.449,20,,1,,"Shanghai, China"
,,Jiangxi,China,2020-01-24T17:00:00,27.614,115.722,18,,,,"Jiangxi, China"
,,Sichuan,China,2020-01-24T17:00:00,30.617,102.71,15,,,,"Sichuan, China"
,,Shandong,China,2020-01-24T17:00:00,36.343,118.15,15,,,,"Shandong, China"
,,Anhui,China,2020-01-24T17:00:00,31.826,117.226,15,,,,"Anhui, China"
,,Fujian,China,2020-01-24T17:00:00,26.079,117.987,10,,,,"Fujian, China"
,,He,China,2020-01-24T17:00:00,33.882,113.614,9,,,,"He, China"
,,Jiangsu,China,2020-01-24T17:00:00,32.971,119.455,9,,,,"Jiangsu, China"
,,Hai,China,2020-01-24T17:00:00,19.196,109.745,8,,,,"Hai, China"
,,Tianjin,China,2020-01-24T17:00:00,39.305,117.323,8,,,,"Tianjin, China"
,,Yun,China,2020-01-24T17:00:00,24.974,101.487,5,,,,"Yun, China"
,,Shaanxi,China,2020-01-24T17:00:00,35.192,108.87,5,,,,"Shaanxi, China"
,,Heilongjiang,China,2020-01-24T17:00:00,47.862,127.761,4,1,,,"Heilongjiang, China"
,,Liaoning,China,2020-01-24T17:00:00,41.296,122.609,4,,,,"Liaoning, China"
,,Guizhou,China,2020-01-24T17:00:00,26.815,106.875,3,,,,"Guizhou, China"
,,Jilin,China,2020-01-24T17:00:00,43.666,126.192,3,,,,"Jilin, China"
,,Taiwan,Taiwan,2020-01-24T17:00:00,23.7,121,3,,,,"Taiwan, Taiwan"
,,Ningxia,China,2020-01-24T17:00:00,37.269,106.165,2,,,,"Ningxia, China"
,,Hong Kong,Hong Kong,2020-01-24T17:00:00,22.3,114.2,2,,,,"Hong Kong, Hong Kong"
,,Macau,Macau,2020-01-24T17:00:00,22.167,113.55,2,,,,"Macau, Macau"
,,Hebei,China,2020-01-24T17:00:00,38.043,114.515,2,1,,,"Hebei, China"
,,Gansu,China,2020-01-24T17:00:00,36.061,103.834,2,,,,"Gansu, China"
,,Xinjiang,China,2020-01-24T17:00:00,41.113,85.24,2,,,,"Xinjiang, China"
,,Shanxi,China,2020-01-24T17:00:00,37.578,112.292,1,,,,"Shanxi, China"
,,Inner Mongolia,China,2020-01-24T17:00:00,44.093,113.945,1,,,,"Inner Mongolia, China"
,,Qinghai,China,2020-01-24T17:00:00,35.745,95.996,,,,,"Qinghai, China"
,,Washington,US,2020-01-24T17:00:00,47.401,-121.49,1,,,,"Washington, US"
,Chicago,Illinois,US,2020-01-24T17:00:00,41.878,-87.63,1,,,,"Chicago, Illinois, US"
,,,Japan,2020-01-24T17:00:00,36,138,2,,,,Japan
,,,Thailand,2020-01-24T17:00:00,15,101,5,,,,Thailand
,,,South Korea,2020-01-24T17:00:00,36,128,2,,,,South Korea
,,,Singapore,2020-01-24T17:00:00,1.283,103.833,3,,,,Singapore
,,,Vietnam,2020-01-24T17:00:00,16,108,2,,,,Vietnam
250,,,France,2020-01-24T17:00:00,47,2,2,,,,France
,,Hubei,China,2020-01-25T17:00:00,30.976,112.271,761,40,32,,"Hubei, China"
,,Guangdong,China,2020-01-25T17:00:00,23.342,113.424,78,,2,,"Guangdong, China"
,,Zhejiang,China,2020-01-25T17:00:00,29.183,120.093,62,,1,,"Zhejiang, China"
,,Chongqing,China,2020-01-25T17:00:00,30.057,107.874,57,,,,"Chongqing, China"
,,Hu,China,2020-01-25T17:00:00,27.61,111.709,43,,,,"Hu, China"
,,Beijing,China,2020-01-25T17:00:00,40.182,116.414,41,,2,,"Beijing, China"
,,Anhui,China,2020-01-25T17:00:00,31.826,117.226,39,,,,"Anhui, China"
,,Shanghai,China,2020-01-25T17:00:00,31.202,121.449,33,,1,,"Shanghai, China"
,,He,China,2020-01-25T17:00:00,33.882,113.614,32,,,,"He, China"
,,Sichuan,China,2020-01-25T17:00:00,30.617,102.71,28,,,,"Sichuan, China"
,,Shandong,China,2020-01-25T17:00:00,36.343,118.15,27,,,,"Shandong, China"
,,Guangxi,China,2020-01-25T17:00:00,23.83,108.788,23,,,,"Guangxi, China"
,,Hai,China,2020-01-25T17:00:00,19.196,109.745,19,,,,"Hai, China"
,,Jiangxi,China,2020-01-25T17:00:00,27.614,115.722,18,,,,"Jiangxi, China"
,,Fujian,China,2020-01-25T17:00:00,26.079,117.987,18,,,,"Fujian, China"
,,Jiangsu,China,2020-01-25T17:00:00,32.971,119.455,18,,1,,"Jiangsu, China"
,,Liaoning,China,2020-01-25T17:00:00,41.296,122.609,17,,,,"Liaoning, China"
,,Shaanxi,China,2020-01-25T17:00:00,35.192,108.87,15,,,,"Shaanxi, China"
,,Yun,China,2020-01-25T17:00:00,24.974,101.487,11,,,,"Yun, China"
,,Tianjin,China,2020-01-25T17:00:00,39.305,117.323,10,,,,"Tianjin, China"
,,Heilongjiang,China,2020-01-25T17:00:00,47.862,127.761,9,1,,,"Heilongjiang, China"
,,Hebei,China,2020-01-25T17:00:00,38.043,114.515,8,1,,,"Hebei, China"
,,Inner Mongolia,China,2020-01-25T17:00:00,44.093,113.945,7,,,,"Inner Mongolia, China"
,,Shanxi,China,2020-01-25T17:00:00,37.578,112.292,6,,,,"Shanxi, China"
,,Hong Kong,Hong Kong,2020-01-25T17:00:00,22.3,114.2,5,,,,"Hong Kong, Hong Kong"
,,Guizhou,China,2020-01-25T17:00:00,26.815,106.875,4,,,,"Guizhou, China"
,,Jilin,China,2020-01-25T17:00:00,43.666,126.192,4,,,,"Jilin, China"
,,Gansu,China,2020-01-25T17:00:00,36.061,103.834,4,,,,"Gansu, China"
,,Ningxia,China,2020-01-25T17:00:00,37.269,106.165,3,,,,"Ningxia, China"
,,Taiwan,Taiwan,2020-01-25T17:00:00,23.7,121,3,,,,"Taiwan, Taiwan"
,,Xinjiang,China,2020-01-25T17:00:00,41.113,85.24,3,,,,"Xinjiang, China"
,,Macau,Macau,2020-01-25T17:00:00,22.167,113.55,2,,,,"Macau, Macau"
,,Qinghai,China,2020-01-25T17:00:00,35.745,95.996,1,,,,"Qinghai, China"
,,Washington,US,2020-01-25T17:00:00,47.401,-121.49,1,,,,"Washington, US"
,,Illinois,US,2020-01-25T17:00:00,40.349,-88.986,1,,,,"Illinois, US"
,,,Japan,2020-01-25T17:00:00,36,138,2,,,,Japan
,,,Thailand,2020-01-25T17:00:00,15,101,7,,,,Thailand
,,,South Korea,2020-01-25T17:00:00,36,128,2,,,,South Korea
,,,Singapore,2020-01-25T17:00:00,1.283,103.833,3,,,,Singapore
,,,Vietnam,2020-01-25T17:00:00,16,108,2,,,,Vietnam
250,,,France,2020-01-25T17:00:00,47,2,3,,,,France
,,,Australia,2020-01-25T17:00:00,-23.992,134.05,4,,,,Australia
,,,Nepal,2020-01-25T17:00:00,28.167,84.25,1,,,,Nepal
,,,Malaysia,2020-01-25T17:00:00,2.5,112.5,3,,,,Malaysia
,,Hubei,China,2020-01-26T16:00:00,30.976,112.271,1058,52,42,,"Hubei, China"
,,Guangdong,China,2020-01-26T16:00:00,23.342,113.424,111,,2,,"Guangdong, China"
,,Zhejiang,China,2020-01-26T16:00:00,29.183,120.093,104,,1,,"Zhejiang, China"
,,He,China,2020-01-26T16:00:00,33.882,113.614,83,1,,,"He, China"
,,Chongqing,China,2020-01-26T16:00:00,30.057,107.874,75,,,,"Chongqing, China"
,,Hu,China,2020-01-26T16:00:00,27.61,111.709,69,,,,"Hu, China"
,,Beijing,China,2020-01-26T16:00:00,40.182,116.414,68,,2,,"Beijing, China"
,,Anhui,China,2020-01-26T16:00:00,31.826,117.226,60,,,,"Anhui, China"
,,Shandong,China,2020-01-26T16:00:00,36.343,118.15,46,,,,"Shandong, China"
,,Sichuan,China,2020-01-26T16:00:00,30.617,102.71,44,,,,"Sichuan, China"
,,Shanghai,China,2020-01-26T16:00:00,31.202,121.449,40,1,1,,"Shanghai, China"
,,Guangxi,China,2020-01-26T16:00:00,23.83,108.788,36,,,,"Guangxi, China"
,,Jiangxi,China,2020-01-26T16:00:00,27.614,115.722,36,,,,"Jiangxi, China"
,,Fujian,China,2020-01-26T16:00:00,26.079,117.987,35,,,,"Fujian, China"
,,Jiangsu,China,2020-01-26T16:00:00,32.971,119.455,33,,1,,"Jiangsu, China"
,,Hai,China,2020-01-26T16:00:00,19.196,109.745,22,,,,"Hai, China"
,,Shaanxi,China,2020-01-26T16:00:00,35.192,108.87,22,,,,"Shaanxi, China"
,,Liaoning,China,2020-01-26T16:00:00,41.296,122.609,21,,,,"Liaoning, China"
,,Yun,China,2020-01-26T16:00:00,24.974,101.487,16,,,,"Yun, China"
,,Heilongjiang,China,2020-01-26T16:00:00,47.862,127.761,15,1,,,"Heilongjiang, China"
,,Tianjin,China,2020-01-26T16:00:00,39.305,117.323,14,,,,"Tianjin, China"
,,Hebei,China,2020-01-26T16:00:00,38.043,114.515,13,1,,,"Hebei, China"
,,Shanxi,China,2020-01-26T16:00:00,37.578,112.292,9,,,,"Shanxi, China"
,,Hong Kong,Hong Kong,2020-01-26T16:00:00,22.3,114.2,8,,,,"Hong Kong, Hong Kong"
,,Inner Mongolia,China,2020-01-26T16:00:00,44.093,113.945,7,,,,"Inner Mongolia, China"
,,Gansu,China,2020-01-26T16:00:00,36.061,103.834,7,,,,"Gansu, China"
,,Guizhou,China,2020-01-26T16:00:00,26.815,106.875,5,,,,"Guizhou, China"
,,Macau,Macau,2020-01-26T16:00:00,22.167,113.55,5,,,,"Macau, Macau"
,,Ningxia,China,2020-01-26T16:00:00,37.269,106.165,4,,,,"Ningxia, China"
,,Jilin,China,2020-01-26T16:00:00,43.666,126.192,4,,,,"Jilin, China"
,,Taiwan,Taiwan,2020-01-26T16:00:00,23.7,121,4,,,,"Taiwan, Taiwan"
,,Xinjiang,China,2020-01-26T16:00:00,41.113,85.24,4,,,,"Xinjiang, China"
,,Qinghai,China,2020-01-26T16:00:00,35.745,95.996,1,,,,"Qinghai, China"
,,Washington,US,2020-01-26T16:00:00,47.401,-121.49,1,,,,"Washington, US"
,,Illinois,US,2020-01-26T16:00:00,40.349,-88.986,1,,,,"Illinois, US"
,,California,US,2020-01-26T16:00:00,36.116,-119.682,2,,,,"California, US"
,,Arizona,US,2020-01-26T16:00:00,33.73,-111.431,1,,,,"Arizona, US"
,,,Japan,2020-01-26T16:00:00,36,138,4,,1,,Japan
,,,Thailand,2020-01-26T16:00:00,15,101,8,,2,,Thailand
,,,South Korea,2020-01-26T16:00:00,36,128,3,,,,South Korea
,,,Singapore,2020-01-26T16:00:00,1.283,103.833,4,,,,Singapore
,,,Vietnam,2020-01-26T16:00:00,16,108,2,,,,Vietnam
250,,,France,2020-01-26T16:00:00,47,2,3,,,,France
,,,Australia,2020-01-26T16:00:00,-23.992,134.05,4,,,,Australia
,,,Nepal,2020-01-26T16:00:00,28.167,84.25,1,,,,Nepal
,,,Malaysia,2020-01-26T16:00:00,2.5,112.5,4,,,,Malaysia
,,Ontario,Canada,2020-01-26T16:00:00,51.254,-85.323,1,,,,"Ontario, Canada"
,,Hubei,China,2020-01-27T23:59:00,30.976,112.271,1423,76,45,,"Hubei, China"
,,Guangdong,China,2020-01-27T23:59:00,23.342,113.424,151,,4,,"Guangdong, China"
,,Zhejiang,China,2020-01-27T23:59:00,29.183,120.093,128,,1,,"Zhejiang, China"
,,He,China,2020-01-27T23:59:00,33.882,113.614,128,1,,,"He, China"
,,Chongqing,China,2020-01-27T23:59:00,30.057,107.874,110,,,,"Chongqing, China"
,,Hu,China,2020-01-27T23:59:00,27.61,111.709,100,,,,"Hu, China"
,,Beijing,China,2020-01-27T23:59:00,40.182,116.414,80,1,2,,"Beijing, China"
,,Shandong,China,2020-01-27T23:59:00,36.343,118.15,75,,,,"Shandong, China"
,,Jiangxi,China,2020-01-27T23:59:00,27.614,115.722,72,,2,,"Jiangxi, China"
,,Anhui,China,2020-01-27T23:59:00,31.826,117.226,70,,,,"Anhui, China"
,,Sichuan,China,2020-01-27T23:59:00,30.617,102.71,69,,,,"Sichuan, China"
,,Fujian,China,2020-01-27T23:59:00,26.079,117.987,59,,,,"Fujian, China"
,,Shanghai,China,2020-01-27T23:59:00,31.202,121.449,53,1,3,,"Shanghai, China"
,,Jiangsu,China,2020-01-27T23:59:00,32.971,119.455,47,,1,,"Jiangsu, China"
,,Guangxi,China,2020-01-27T23:59:00,23.83,108.788,46,,,,"Guangxi, China"
,,Shaanxi,China,2020-01-27T23:59:00,35.192,108.87,35,,,,"Shaanxi, China"
,,Hai,China,2020-01-27T23:59:00,19.196,109.745,33,1,,,"Hai, China"
,,Liaoning,China,2020-01-27T23:59:00,41.296,122.609,27,,,,"Liaoning, China"
,,Yun,China,2020-01-27T23:59:00,24.974,101.487,26,,,,"Yun, China"
,,Tianjin,China,2020-01-27T23:59:00,39.305,117.323,23,,,,"Tianjin, China"
